,Ngành,Total-M,YOY,Total-YOY,YTD-YOY,Date,Month,PreMonth,MOM
1400,Thủy tinh và các SP từ thủy tinh,130,-4.81371538882081,468.492671,-18.206964311239005,2022-04-29,2022-04,2022-03,8.333333333333329
1401,Phế liệu sắt thép,251.4173416700282,0.7957288611240045,653.8604166700283,-20.07175657568287,2022-04-29,2022-04,2022-03,110.24810348495092
1402,Sắt thép,905.9004624453337,-16.76532170520875,4050.3991314453338,8.48449588556575,2022-04-29,2022-04,2022-03,-24.9307657905034
1403,Sản phẩm từ sắt thép,420,-2.6856424813556714,1584.191059,-0.774176060611282,2022-04-29,2022-04,2022-03,10.5263157894737
1404,Kim loại thường khác,914.8982073825503,30.97327036066082,3233.78641738255,12.448338420638237,2022-04-29,2022-04,2022-03,12.655091727919427
1405,SP từ kim loại thường khác,195,40.11617686099035,625.20522,17.09969931250916,2022-04-29,2022-04,2022-03,30.0
1406,"Điện tử, máy tính và linh kiện",7200,26.712417591780664,28928.20965,29.962216621137486,2022-04-29,2022-04,2022-03,-10.0
1407,Hàng điện gia dụng và linh kiện,285,15.616315161020552,929.610724,4.203951764408174,2022-04-29,2022-04,2022-03,13.999999999999986
1408,Điện thoại và linh kiện,1900,41.486447156575,7437.204128,20.834395612824835,2022-04-29,2022-04,2022-03,0.0
1409,"Máy ảnh, máy quay phim và linh kiện",190,-2.720047316968973,674.871669,-1.0295375175414847,2022-04-29,2022-04,2022-03,0.0
1410,"Máy móc thiết bị, dụng cụ PT khác",3400,-13.348431745550187,13929.31393,-5.688055929754228,2022-04-29,2022-04,2022-03,-5.555555555555557
1411,Dây điện và cáp điện,210,-0.450479121652009,768.120243,-0.3546500020651848,2022-04-29,2022-04,2022-03,16.66666666666667
1412,Ô tô,921.279489990467,19.431941556148644,2760.406318990467,-1.6962243825397962,2022-04-29,2022-04,2022-03,14.218101706328596
1413,Trong đó: Nguyên chiếc(*),451.2794899904671,41.695558763420735,1023.7405149904671,-9.492523489755229,2022-04-29,2022-04,2022-03,47.18991577344062
1414,TỔNG TRỊ GIÁ,32672,14.637093027764195,87770,15.92536737480404,2022-03-29,2022-03,2022-02,29.24358876105805
1415,Khu vực kinh tế trong nước,11072,7.814069047021093,29427.392787999997,13.719264310005073,2022-03-29,2022-03,2022-02,33.72954451251414
1416,Khu vực có vốn đầu tư NN,21600,18.480539248486693,58343.369715,17.07242792687144,2022-03-29,2022-03,2022-02,27.058823529411754
1417,Thủy sản,230,15.033458631777648,564.32199,12.983630302960506,2022-03-29,2022-03,2022-02,27.77777777777777
1418,Sữa và sản phẩm sữa,110,-2.7118385152368916,337.66607899999997,18.243522657580755,2022-03-29,2022-03,2022-02,-15.384615384615387
1419,Rau quả,130,21.490904606790238,388.463388,10.72174496905869,2022-03-29,2022-03,2022-02,18.181818181818187
1420,Hạt điều,373.768910055504,-51.39224349610612,611.6994840555041,-45.54126614568129,2022-03-29,2022-03,2022-02,296.5218336504917
1421,Ngô,161.09665048172178,-42.726527096575225,665.2728844817218,0.327998985266305,2022-03-29,2022-03,2022-02,-27.85227708947241
1422,Thức ăn gia súc và NPL,360,-31.73796086449694,987.860697,-18.24685948568684,2022-03-29,2022-03,2022-02,44.0
1423,Quặng và khoáng sản khác,288.2281451229525,-23.275442324273115,726.7680891229525,-17.203656377472157,2022-03-29,2022-03,2022-02,12.367666313172549
1424,Than đá,607.2011389019727,79.99290401894106,1466.5055199019728,97.28991696263085,2022-03-29,2022-03,2022-02,91.28422635509367
1425,Dầu thô,799.6416375128838,172.6283412362003,1386.5883765128838,70.33689214827109,2022-03-29,2022-03,2022-02,119941.54578541873
1426,Xăng dầu,1285.4719627947177,240.5977081475795,2374.0761127947176,129.40189995894173,2022-03-29,2022-03,2022-02,105.24977109828478
1427,Khí đốt hóa lỏng,174.53237983501376,82.9484858501855,326.97773483501373,19.24788528286136,2022-03-29,2022-03,2022-02,246.2326621060896
1428,Hóa chất,830,18.441536107610077,2299.803375,31.816514686502472,2022-03-29,2022-03,2022-02,22.058823529411768
1429,Sản phẩm hoá chất,950,43.754811019562254,2356.101038,37.18535467442058,2022-03-29,2022-03,2022-02,48.4375
1430,Tân dược,350,29.17870695258921,874.651331,27.81478253533345,2022-03-29,2022-03,2022-02,34.61538461538461
1431,Phân bón,127.57924131866362,18.76898641123495,413.3540023186636,55.82052905797741,2022-03-29,2022-03,2022-02,-14.952756814218475
1432,Chất dẻo,1330.2497884698437,14.42266598188273,3428.2914334698435,18.894258571150786,2022-03-29,2022-03,2022-02,38.47473548949486
1433,Sản phẩm chất dẻo,620,-12.604315559428656,1873.463525,-3.5262840531729296,2022-03-29,2022-03,2022-02,-1.5873015873015959
1434,Cao su,271.6773818229303,27.626511949471606,921.4301668229302,33.06905844334426,2022-03-29,2022-03,2022-02,-17.483403805556037
1435,Gỗ và sản phẩm gỗ,220,-15.352054575700862,661.641687,-9.406647697610268,2022-03-29,2022-03,2022-02,-8.333333333333343
1436,Giấy các loại,213.52923979307295,0.06809546982668735,556.716143793073,8.228228139428666,2022-03-29,2022-03,2022-02,13.559530094603488
1437,Bông,330.193709274515,5.596975387410524,949.9512972745151,40.218895792665705,2022-03-29,2022-03,2022-02,-8.038490221425036
1438,Sợi dệt,264.81790590822516,4.275077667660625,698.2209659082251,10.48973767226488,2022-03-29,2022-03,2022-02,12.824822752155953
1439,Vải,1200,10.034759549572243,3537.965335,18.58313898660748,2022-03-29,2022-03,2022-02,20.0
1440,"Nguyên PL dệt, may, giày dép",600,-2.8173254123536253,1607.429544,7.1063866692337285,2022-03-29,2022-03,2022-02,13.20754716981132
1441,Thủy tinh và các SP từ thủy tinh,120,-17.829962158027044,343.03713,-21.358534701188773,2022-03-29,2022-03,2022-02,20.0
1442,Phế liệu sắt thép,119.58126494492926,-54.29147554250978,366.05335594492925,-35.62502022615372,2022-03-29,2022-03,2022-02,-16.38305550949073
1443,Sắt thép,1206.7533017816945,11.560857332446645,3217.3412337816944,21.627056873920324,2022-03-29,2022-03,2022-02,17.215403024766147
1444,Sản phẩm từ sắt thép,380,-11.423528923250387,1151.965764,-1.1154390654131987,2022-03-29,2022-03,2022-02,-5.0
1445,Kim loại thường khác,812.123263449272,-1.3502867037652777,2288.678574449272,5.117408832876976,2022-03-29,2022-03,2022-02,21.14272989989179
1446,SP từ kim loại thường khác,150,4.158789658198785,426.16873,7.962359047072141,2022-03-29,2022-03,2022-02,0.0
1447,"Điện tử, máy tính và linh kiện",8000,34.15539531451191,21725.354,31.05894993352385,2022-03-29,2022-03,2022-02,26.984126984126974
1448,Hàng điện gia dụng và linh kiện,250,-4.6276131747872995,646.913886,0.20320755710700666,2022-03-29,2022-03,2022-02,13.63636363636364
1449,Điện thoại và linh kiện,1900,48.44762517180911,5544.6937450000005,15.226659076235904,2022-03-29,2022-03,2022-02,18.75
1450,"Máy ảnh, máy quay phim và linh kiện",190,14.735760735020477,502.60013,3.292520371454117,2022-03-29,2022-03,2022-02,46.15384615384613
1451,"Máy móc thiết bị, dụng cụ PT khác",3600,-10.370982101142644,10565.120144,-2.5865253355713236,2022-03-29,2022-03,2022-02,26.315789473684205
1452,Dây điện và cáp điện,180,-16.550523926640736,558.298503,-0.28670800643550365,2022-03-29,2022-03,2022-02,-14.285714285714292
1453,Ô tô,806.5967444978301,-8.300567508224248,1932.50353849783,-5.113728807106412,2022-03-29,2022-03,2022-02,29.586314114131255
1454,Trong đó: Nguyên chiếc(*),306.5967444978301,-20.83072911450043,645.1953814978301,-20.603676583353618,2022-03-29,2022-03,2022-02,16.82556894397085
1455,TỔNG TRỊ GIÁ,25279.397077407906,21.855784154687427,54728,15.920463362524245,2022-02-28,2022-02,2022-01,-14.307128551159636
1456,Khu vực kinh tế trong nước,8279.397077407906,22.798528705683793,18249,16.92331088650478,2022-02-28,2022-02,2022-01,-17.206029225920943
1457,Khu vực có vốn đầu tư NN,17000,21.401867596284973,36479,15.425212023139025,2022-02-28,2022-02,2022-01,-12.820512820512818
1458,Thủy sản,180,55.487362829372444,357.354012,19.30470751593289,2022-02-28,2022-02,2022-01,-16.279069767441854
1459,Sữa và sản phẩm sữa,130,59.549978730146904,243.358396,41.07554569323915,2022-02-28,2022-02,2022-01,0.0
1460,Rau quả,110,15.758081311065084,276.691504,13.471343138047814,2022-02-28,2022-02,2022-01,-47.61904761904761
1461,Hạt điều,94.26187370679746,-46.41228895238502,190.03432970679745,-46.361283918066476,2022-02-28,2022-02,2022-01,-26.31027563220266
1462,Ngô,223.28722790253858,53.19729264696804,563.4573709025385,47.570798374849545,2022-02-28,2022-02,2022-01,-36.05569526231961
1463,Thức ăn gia súc và NPL,250,-21.05339279044425,601.827001,-11.621626370834221,2022-02-28,2022-02,2022-01,-34.210526315789465
1464,Quặng và khoáng sản khác,256.5045217897921,8.40913060029989,466.34534978979207,-7.12322463759925,2022-02-28,2022-02,2022-01,15.241117421219386
1465,Than đá,317.43398317370134,114.46451327645312,746.2200701737013,83.80806981336877,2022-02-28,2022-02,2022-01,-34.644643012607986
1466,Dầu thô,0.6661374045801526,-99.82644482979867,393.51183540458015,-24.429097360663704,2022-02-28,2022-02,2022-01,-99.82674909192842
1467,Xăng dầu,626.296417246265,144.7468660268879,1077.675076246265,63.90952034599488,2022-02-28,2022-02,2022-01,33.42143491447416
1468,Khí đốt hóa lỏng,50.40898763662426,-41.860423719471726,161.02615363662426,-9.940774515298031,2022-02-28,2022-02,2022-01,-59.79336052714419
1469,Hóa chất,680,45.00607346210265,1443.818485,38.3056907289793,2022-02-28,2022-02,2022-01,-15.0
1470,Sản phẩm hoá chất,640,41.79985748183762,1386.889193,31.258296811777086,2022-02-28,2022-02,2022-01,-14.666666666666657
1471,Tân dược,260,68.85794707002171,498.58628699999997,20.615283903746644,2022-02-28,2022-02,2022-01,-13.333333333333329
1472,Phân bón,150.00984927868035,103.60348435889799,303.61813627868037,92.33657404185439,2022-02-28,2022-02,2022-01,-18.875978943892378
1473,Chất dẻo,960.6443975267682,26.512258316753275,1979.0392495267683,14.99998197323977,2022-02-28,2022-02,2022-01,-3.704603878042974
1474,Sản phẩm chất dẻo,630,20.409755544878777,1332.20635,8.087595850439769,2022-02-28,2022-02,2022-01,-16.0
1475,Cao su,329.2396855327667,46.62278123791418,694.7099385327667,44.85919131801762,2022-02-28,2022-02,2022-01,-20.32681528937546
1476,Gỗ và sản phẩm gỗ,240,25.281818841445954,490.14137800000003,4.187321177114384,2022-02-28,2022-02,2022-01,-20.0
1477,Giấy các loại,188.03286665169122,47.127171305841955,359.50992165169123,19.435752853633815,2022-02-28,2022-02,2022-01,-5.880467871586262
1478,Bông,359.0564248777079,113.11144440429541,674.5403718777079,84.91451118189744,2022-02-28,2022-02,2022-01,3.113137865919896
1479,Sợi dệt,234.71599551275588,48.3264629090788,467.0327815127559,23.56280491403828,2022-02-28,2022-02,2022-01,-15.982747702217438
1480,Vải,1000,27.306783642793377,2392.142749,26.37001527647827,2022-02-28,2022-02,2022-01,-16.666666666666657
1481,"Nguyên PL dệt, may, giày dép",530,49.18499827295847,1093.910545,23.831766539059345,2022-02-28,2022-02,2022-01,-3.6363636363636402
1482,Thủy tinh và các SP từ thủy tinh,100,-16.60724933181558,231.024618,-20.381708966562144,2022-02-28,2022-02,2022-01,-31.034482758620683
1483,Phế liệu sắt thép,143.01080441716215,-10.165821542407443,234.14342441716215,-23.73420892899678,2022-02-28,2022-02,2022-01,-8.950743363109083
1484,Sắt thép,1029.5176833770922,42.46099075505657,2102.7483413770924,34.48537499139388,2022-02-28,2022-02,2022-01,9.821858636611296
1485,Sản phẩm từ sắt thép,400,35.18254995783502,835.178306,13.482660083950648,2022-02-28,2022-02,2022-01,-11.111111111111114
1486,Kim loại thường khác,670.3854734992211,5.5171316463960665,1400.3027374992212,3.4181753469158167,2022-02-28,2022-02,2022-01,-7.760624151224732
1487,SP từ kim loại thường khác,150,38.88346086029358,304.25541999999996,21.34910810931669,2022-02-28,2022-02,2022-01,-11.764705882352942
1488,"Điện tử, máy tính và linh kiện",6300,27.14622281725893,13420.659929000001,26.44840469876577,2022-02-28,2022-02,2022-01,-7.35294117647058
1489,Hàng điện gia dụng và linh kiện,220,18.91733763972651,433.893256,13.148736328283078,2022-02-28,2022-02,2022-01,-18.51851851851852
1490,Điện thoại và linh kiện,1600,28.600482669922314,3609.859257,2.2021980881822287,2022-02-28,2022-02,2022-01,-20.0
1491,"Máy ảnh, máy quay phim và linh kiện",130,7.021012250341286,305.354014,-4.868660442544979,2022-02-28,2022-02,2022-01,-38.095238095238095
1492,"Máy móc thiết bị, dụng cụ PT khác",2850,-2.3285996878890813,6777.485837,-0.7556401107847108,2022-02-28,2022-02,2022-01,-25.0
1493,Dây điện và cáp điện,210,43.250327976742,413.734026,20.200094123721144,2022-02-28,2022-02,2022-01,-16.0
1494,Ô tô,622.4397614916585,11.735289908392758,1144.4322954916584,-1.089917513742634,2022-02-28,2022-02,2022-01,-1.5664834640351017
1495,Trong đó: Nguyên chiếc(*),262.4397614916585,25.011958765002532,389.4325334916585,-8.44613256693745,2022-02-28,2022-02,2022-01,61.65524093512013
1496,TỔNG TRỊ GIÁ,29500,11.460432249337842,29500,11.460432249337842,2022-01-29,2022-01,2021-12,-7.741004058314445
1497,Khu vực kinh tế trong nước,10000,12.797623058010956,10000,12.797623058010956,2022-01-29,2022-01,2021-12,-8.047682107634216
1498,Khu vực có vốn đầu tư NN,19500,10.786917204899353,19500,10.786917204899353,2022-01-29,2022-01,2021-12,-7.5829383886255926
1499,Thủy sản,215,16.99694123196842,215,16.99694123196842,2022-01-29,2022-01,2021-12,13.157894736842096
1500,Sữa và sản phẩm sữa,130,42.82102797060844,130,42.82102797060844,2022-01-29,2022-01,2021-12,30.0
1501,Rau quả,210,41.11304134339292,210,41.11304134339292,2022-01-29,2022-01,2021-12,50.0
1502,Hạt điều,127.91725646349441,-28.29095813031907,127.91725646349441,-28.29095813031907,2022-01-29,2022-01,2021-12,-15.538269773824084
1503,Ngô,349.1901723203229,47.917869807305124,349.1901723203229,47.917869807305124,2022-01-29,2022-01,2021-12,126.70610382844077
1504,Thức ăn gia súc và NPL,380,4.310594699734921,380,4.310594699734921,2022-01-29,2022-01,2021-12,5.555555555555557
1505,Quặng và khoáng sản khác,222.5807311918357,-16.166728773627753,222.5807311918357,-16.166728773627753,2022-01-29,2022-01,2021-12,4.690093470270227
1506,Than đá,485.70461214822666,88.28277749643695,485.70461214822666,88.28277749643695,2022-01-29,2022-01,2021-12,22.571683380894413
1507,Dầu thô,384.4928791397415,180.85694872553665,384.4928791397415,180.85694872553665,2022-01-29,2022-01,2021-12,-43.6092531074551
1508,Xăng dầu,469.41214329446666,16.889539867879392,469.41214329446666,16.889539867879392,2022-01-29,2022-01,2021-12,-3.5750064535193076
1509,Khí đốt hóa lỏng,125.37478460654796,36.13357190224738,125.37478460654796,36.13357190224738,2022-01-29,2022-01,2021-12,-48.97461617340843
1510,Hóa chất,800,39.13359541395357,800,39.13359541395357,2022-01-29,2022-01,2021-12,-5.882352941176478
1511,Sản phẩm hoá chất,750,23.911578046064292,750,23.911578046064292,2022-01-29,2022-01,2021-12,7.142857142857139
1512,Tân dược,300,15.654401517385736,300,15.654401517385736,2022-01-29,2022-01,2021-12,-45.45454545454546
1513,Phân bón,184.91421816348253,119.66453729635168,184.91421816348253,119.66453729635168,2022-01-29,2022-01,2021-12,4.216258170589128
1514,Chất dẻo,997.6015845140955,3.7466373069656527,997.6015845140955,3.7466373069656527,2022-01-29,2022-01,2021-12,-1.8320046181100054
1515,Sản phẩm chất dẻo,750,5.736365006014822,750,5.736365006014822,2022-01-29,2022-01,2021-12,0.0
1516,Cao su,413.2377621511872,62.03672520514408,413.2377621511872,62.03672520514408,2022-01-29,2022-01,2021-12,4.124772287507938
1517,Gỗ và sản phẩm gỗ,300,7.575332262012097,300,7.575332262012097,2022-01-29,2022-01,2021-12,25.0
1518,Giấy các loại,199.7809194324777,15.344286001242452,199.7809194324777,15.344286001242452,2022-01-29,2022-01,2021-12,-14.925489454391027
1519,Bông,348.21598130841124,77.38785393507658,348.21598130841124,77.38785393507658,2022-01-29,2022-01,2021-12,31.873983507073547
1520,Sợi dệt,279.36642664872136,27.14126878092722,279.36642664872136,27.14126878092722,2022-01-29,2022-01,2021-12,-0.8615730798767913
1521,Vải,1200,8.355768688703876,1200,8.355768688703876,2022-01-29,2022-01,2021-12,-14.285714285714292
1522,"Nguyên PL dệt, may, giày dép",550,4.142834525738493,550,4.142834525738493,2022-01-29,2022-01,2021-12,0.0
1523,Thủy tinh và các SP từ thủy tinh,145,-14.831508383031846,145,-14.831508383031846,2022-01-29,2022-01,2021-12,-19.444444444444443
1524,Phế liệu sắt thép,157.06971116469026,6.260606910862606,157.06971116469026,6.260606910862606,2022-01-29,2022-01,2021-12,-44.16459956499301
1525,Sắt thép,937.4433251796033,11.482900840293354,937.4433251796033,11.482900840293354,2022-01-29,2022-01,2021-12,-5.185207984037518
1526,Sản phẩm từ sắt thép,450,2.259671269197966,450,2.259671269197966,2022-01-29,2022-01,2021-12,-10.0
1527,Kim loại thường khác,726.7888223770135,1.127356722749468,726.7888223770135,1.127356722749468,2022-01-29,2022-01,2021-12,-2.611417774967805
1528,SP từ kim loại thường khác,170,19.11172417681992,170,19.11172417681992,2022-01-29,2022-01,2021-12,0.0
1529,"Điện tử, máy tính và linh kiện",6800,20.17061580863735,6800,20.17061580863735,2022-01-29,2022-01,2021-12,-12.820512820512818
1530,Hàng điện gia dụng và linh kiện,270,36.041307784238285,270,36.041307784238285,2022-01-29,2022-01,2021-12,35.0
1531,Điện thoại và linh kiện,2000,-12.584075499777299,2000,-12.584075499777299,2022-01-29,2022-01,2021-12,-16.666666666666657
1532,"Máy ảnh, máy quay phim và linh kiện",210,5.257861234742165,210,5.257861234742165,2022-01-29,2022-01,2021-12,-16.0
1533,"Máy móc thiết bị, dụng cụ PT khác",3800,-2.841672893369136,3800,-2.841672893369136,2022-01-29,2022-01,2021-12,-2.564102564102569
1534,Dây điện và cáp điện,250,26.513165779836385,250,26.513165779836385,2022-01-29,2022-01,2021-12,13.729988700838774
1535,Ô tô,632.3453467846352,5.394982388330533,632.3453467846352,5.394982388330533,2022-01-29,2022-01,2021-12,-33.4000772815768
1536,Trong đó: Nguyên chiếc(*),162.3453467846353,-24.64026950403776,162.3453467846353,-24.64026950403776,2022-01-29,2022-01,2021-12,-63.880602425027234
1537,TỔNG TRỊ GIÁ,31975.201658000005,14.588044336997498,332250,26.47954739196001,2021-12-29,2021-12,2021-11,7.299334422818802
1538,Khu vực kinh tế trong nước,10875.201658000005,10.25799288478619,114066.67341799999,21.76624665295617,2021-12-29,2021-12,2021-11,6.619624098039267
1539,Khu vực có vốn đầu tư NN,21100,16.95536999515707,218183.326582,29.091916242402277,2021-12-29,2021-12,2021-11,7.6530612244897895
1540,Thủy sản,190,9.285839471410867,1977.327655,11.755554765703508,2021-12-29,2021-12,2021-11,22.58064516129032
1541,Sữa và sản phẩm sữa,100,30.126082805160223,1188.994393,13.433306938070189,2021-12-29,2021-12,2021-11,11.111111111111114
1542,Rau quả,140,-5.805303896109265,1489.021867,13.748007652502153,2021-12-29,2021-12,2021-11,-12.5
1543,Hạt điều,151.44995978764712,-22.56907315337601,4213.069205787648,132.99624286637686,2021-12-29,2021-12,2021-11,-15.681637173941283
1544,Ngô,154.02768889918008,-20.26958937115714,2872.02970589918,20.25270846553289,2021-12-29,2021-12,2021-11,-48.25331964591205
1545,Thức ăn gia súc và NPL,360,-3.83381945471163,4859.414706,26.507164422108914,2021-12-29,2021-12,2021-11,-14.285714285714292
1546,Quặng và khoáng sản khác,212.60916273328564,-8.468379212075078,3850.285410733286,103.49789663613657,2021-12-29,2021-12,2021-11,-12.55444588186802
1547,Than đá,396.2616803090548,39.23956206291831,4322.9882333090545,14.435646640460064,2021-12-29,2021-12,2021-11,31.128284651819996
1548,Dầu thô,681.8368266559937,117.07167906005162,5207.494852655994,36.57248756973212,2021-12-29,2021-12,2021-11,2.9766624623852778
1549,Xăng dầu,486.81584102797086,26.80431446027076,4182.572683027971,25.729853490907132,2021-12-29,2021-12,2021-11,18.64966575123013
1550,Khí đốt hóa lỏng,245.7106153921955,201.20086599438423,1455.3020373921954,74.72668322797426,2021-12-29,2021-12,2021-11,
1551,Hóa chất,850,51.00961841907164,7626.078909,52.017748583400135,2021-12-29,2021-12,2021-11,32.8125
1552,Sản phẩm hoá chất,700,8.673582830460688,7692.276842,33.98016203729378,2021-12-29,2021-12,2021-11,7.692307692307693
1553,Tân dược,550,76.90567895470022,3919.847763,18.930872417154745,2021-12-29,2021-12,2021-11,15.789473684210535
1554,Phân bón,177.4331773270931,85.42592860285185,1469.630435327093,54.44945642243272,2021-12-29,2021-12,2021-11,39.68822453977302
1555,Chất dẻo,1016.2187591111112,10.63549241959143,11601.507378111111,38.15726247629024,2021-12-29,2021-12,2021-11,13.130015973622761
1556,Sản phẩm chất dẻo,750,1.422950472062979,7999.585327,9.973392624609573,2021-12-29,2021-12,2021-11,4.166666666666671
1557,Cao su,396.8678663806924,64.08238709991056,2988.425687380692,102.98619423387922,2021-12-29,2021-12,2021-11,34.849542384620094
1558,Gỗ và sản phẩm gỗ,240,-20.85153067945548,2948.407445,15.239320138647145,2021-12-29,2021-12,2021-11,9.09090909090908
1559,Giấy các loại,234.8305246203843,34.93579248418007,2148.6371856203846,28.203004803889456,2021-12-29,2021-12,2021-11,44.71853783614242
1560,Bông,264.05206853384647,31.35938015824493,3252.9130385338467,42.53056406078994,2021-12-29,2021-12,2021-11,-5.62099126621851
1561,Sợi dệt,281.7942903953979,33.86367782923989,2576.792787395398,28.915035457172053,2021-12-29,2021-12,2021-11,26.47365782436823
1562,Vải,1400,13.789289699334688,14353.138648,20.86284768391657,2021-12-29,2021-12,2021-11,7.692307692307693
1563,"Nguyên PL dệt, may, giày dép",550,-2.6007179102742413,6286.020687,16.816510573320272,2021-12-29,2021-12,2021-11,1.8518518518518619
1564,Thủy tinh và các SP từ thủy tinh,180,5.566512838272047,1529.958167,6.040473007003328,2021-12-29,2021-12,2021-11,176.9230769230769
1565,Phế liệu sắt thép,281.30847086432397,18.471745703496083,2789.047509864324,66.8039027451062,2021-12-29,2021-12,2021-11,76.56313537931192
1566,Sắt thép,988.7099947672518,37.83781131338563,11501.637705767253,42.578183080541635,2021-12-29,2021-12,2021-11,12.209816637126124
1567,Sản phẩm từ sắt thép,500,2.2623466219216795,5304.217379,16.89838991276646,2021-12-29,2021-12,2021-11,6.38297872340425
1568,Kim loại thường khác,746.2772388426905,12.447828875645286,8574.43366484269,41.65770659956186,2021-12-29,2021-12,2021-11,7.7747217827727155
1569,SP từ kim loại thường khác,170,12.168043459020168,1695.158264,18.85972667302937,2021-12-29,2021-12,2021-11,3.030303030303031
1570,"Điện tử, máy tính và linh kiện",7800,21.996265698686315,75940.091568,18.70996801501957,2021-12-29,2021-12,2021-11,4.0
1571,Hàng điện gia dụng và linh kiện,200,10.812966976577826,2096.358165,5.321960458104513,2021-12-29,2021-12,2021-11,42.85714285714286
1572,Điện thoại và linh kiện,2400,15.383808141742279,21559.746692,29.524392876533938,2021-12-29,2021-12,2021-11,9.09090909090908
1573,"Máy ảnh, máy quay phim và linh kiện",250,6.238853286714587,2254.769348,-9.210984390525525,2021-12-29,2021-12,2021-11,-28.57142857142857
1574,"Máy móc thiết bị, dụng cụ PT khác",3900,-5.395926591901315,46234.476685,24.114686287665293,2021-12-29,2021-12,2021-11,5.405405405405389
1575,Dây điện và cáp điện,219.8188910909091,-4.869777900403477,2418.111848090909,17.910623653247185,2021-12-29,2021-12,2021-11,-4.426569090909098
1576,Ô tô,949.4685894128114,13.726675818612492,8652.936201412811,36.17433331003278,2021-12-29,2021-12,2021-11,44.977485532727684
1577,Trong đó: Nguyên chiếc(*),449.4685894128114,45.88805749732688,3679.0527594128116,56.61584943522902,2021-12-29,2021-12,2021-11,47.41140290840002
1578,TỔNG TRỊ GIÁ,29800,20.81279496832073,299445.29259,27.539557149828696,2021-11-29,2021-11,2021-10,13.74045801526718
1579,Khu vực kinh tế trong nước,10200,20.67309551723335,103306.18198800003,23.257437407077774,2021-11-29,2021-11,2021-10,18.604651162790702
1580,Khu vực có vốn đầu tư NN,19600,20.885623742863174,196139.110602,29.916797477793864,2021-11-29,2021-11,2021-10,11.36363636363636
1581,Thủy sản,155,6.962002142083179,1771.747098,11.048129254390162,2021-11-29,2021-11,2021-10,10.714285714285722
1582,Sữa và sản phẩm sữa,90,14.281771383201928,1092.66797,12.490837614188848,2021-11-29,2021-11,2021-10,0.0
1583,Rau quả,160,41.53972646810931,1357.673587,16.997979586465476,2021-11-29,2021-11,2021-10,23.07692307692308
1584,Hạt điều,179.61681739489524,21.571754623793566,4079.3277723948954,152.96278371508927,2021-11-29,2021-11,2021-10,-26.666872063131848
1585,Ngô,297.65714021694146,41.8632633357152,2704.3542162169415,23.197184149440957,2021-11-29,2021-11,2021-10,42.02112511672473
1586,Thức ăn gia súc và NPL,420,61.46464549170355,4556.994872,31.444254153762017,2021-11-29,2021-11,2021-10,2.439024390243901
1587,Quặng và khoáng sản khác,243.13318713272443,25.011785872515716,3624.9443821327245,118.40011023372307,2021-11-29,2021-11,2021-10,-20.493221153941406
1588,Than đá,302.1939022242482,33.11851962182044,3814.667454224248,9.206762435070075,2021-11-29,2021-11,2021-10,-24.21189508261034
1589,Dầu thô,662.1275251613938,128.9451715779348,4590.589085161394,31.20156345058564,2021-11-29,2021-11,2021-10,121.13874024327691
1590,Xăng dầu,410.2968499284826,79.30241017391913,3691.4739169284826,25.444135122686816,2021-11-29,2021-11,2021-10,65.89678531995915
1591,Hóa chất,640,38.86968250057413,6764.449168,51.88403486301539,2021-11-29,2021-11,2021-10,6.666666666666671
1592,Sản phẩm hoá chất,650,21.37177857242682,6970.025423,36.741587355646715,2021-11-29,2021-11,2021-10,-7.142857142857139
1593,Tân dược,475,69.72732558344785,3444.846493,15.405080847482978,2021-11-29,2021-11,2021-10,-18.103448275862064
1594,Phân bón,127.02085513054328,70.88779936801981,1274.173862130543,48.88010989967469,2021-11-29,2021-11,2021-10,11.08133891815342
1595,Chất dẻo,898.2750955750342,18.112422377755564,10525.474404575034,40.737641208140076,2021-11-29,2021-11,2021-10,12.004137651464376
1596,Sản phẩm chất dẻo,720,10.747497680285974,7251.613963,10.972029402498904,2021-11-29,2021-11,2021-10,10.769230769230774
1597,Cao su,294.3041996010185,66.50766416883567,2575.4062716010185,109.32137406100989,2021-11-29,2021-11,2021-10,20.183785018266278
1598,Gỗ và sản phẩm gỗ,220,-12.99715664030279,2700.134081,19.724972785725626,2021-11-29,2021-11,2021-10,-8.333333333333343
1599,Giấy các loại,162.2670655270655,9.631894900240724,1910.1659275270656,27.18046362063889,2021-11-29,2021-11,2021-10,15.755822767565036
1600,Bông,279.7783872456939,65.3373712289627,2988.549648245694,43.594565339019084,2021-11-29,2021-11,2021-10,9.082016643902378
1601,Sợi dệt,222.80868225280614,24.43241219452119,2294.922280252806,28.328255137907036,2021-11-29,2021-11,2021-10,25.919087459195083
1602,Vải,1300,16.76284287307766,12917.203883,21.342822517936227,2021-11-29,2021-11,2021-10,23.80952380952381
1603,"Nguyên PL dệt, may, giày dép",540,14.772751546004898,5724.910518,18.862349052101308,2021-11-29,2021-11,2021-10,20.0
1604,Thủy tinh và các SP từ thủy tinh,65,-54.91119882000526,1281.316907,0.7089262311370703,2021-11-29,2021-11,2021-10,-35.0
1605,Phế liệu sắt thép,159.32457829319063,-8.239830316759921,2443.731316293191,70.34187473742907,2021-11-29,2021-11,2021-10,6.736027773539547
1606,Sắt thép,881.1261121338682,25.53593835370333,10485.100900133868,42.66221289094517,2021-11-29,2021-11,2021-10,-11.274024123168502
