,Ngành,Total-M,YOY,Total-YOY,YTD-YOY,Date,Month,PreMonth,MOM
4329,Chất dẻo,492.4077530146854,,3840.2029970146855,-6.704928362011131,2015-08-28,2015-08,2015-07,-7.199023086411444
4330,Sản phẩm chất dẻo,340,,2451.25009,23.922860388465622,2015-08-28,2015-08,2015-07,0.0
4331,Cao su,53.60543598876635,,438.84971898876637,7.5300422159188685,2015-08-28,2015-08,2015-07,-14.038519136798286
4332,Gỗ và sản phẩm gỗ,190,,1461.319093,-6.082744316923268,2015-08-28,2015-08,2015-07,-5.0
4333,Giấy các loại,110.35513395963814,,916.5871999596382,0.9351140074441702,2015-08-28,2015-08,2015-07,-15.702758749300202
4334,Bông,139.2304209261847,,1134.2621089261847,16.23574615915308,2015-08-28,2015-08,2015-07,-8.084871710584352
4335,Sợi dệt,122.1292877511134,,1013.1619257511134,-0.9418166249480748,2015-08-28,2015-08,2015-07,-15.487500054905837
4336,Vải,900,,6787.902687,11.004236173221926,2015-08-28,2015-08,2015-07,-5.26315789473685
4337,"Nguyên PL dệt, may, giày dép",420,,3391.081403,10.488320882859398,2015-08-28,2015-08,2015-07,-8.695652173913047
4338,Sắt thép,760.4441972369392,,5230.279054236939,10.839614667055969,2015-08-28,2015-08,2015-07,-9.339946507992337
4339,Kim loại thường khác,402.7291168551427,,2616.6447048551427,19.181395597838716,2015-08-28,2015-08,2015-07,9.058850773246348
4340,"Điện tử, máy tính và linh kiện",2000,,15144.319145,35.25586397670722,2015-08-28,2015-08,2015-07,5.263157894736835
4341,Điện thoại và linh kiện,920,,7120.723632,36.33705257773548,2015-08-28,2015-08,2015-07,2.2222222222222143
4342,"Máy móc thiết bị, dụng cụ PT khác",2500,,18897.568588,33.37378954271469,2015-08-28,2015-08,2015-07,-3.8461538461538396
4343,Ô tô,443.711024,,3847.3372710000003,80.23101888731486,2015-08-28,2015-08,2015-07,-11.356568112215058
4344,Trong đó: Nguyên chiếc(*),193.711024,,1902.331442,132.09813381739025,2015-08-28,2015-08,2015-07,-8.000731969404754
4345,"Xe máy và linh kiện, phụ tùng",29.52486,,224.843795,-11.156994774776805,2015-08-28,2015-08,2015-07,-0.5716245614009807
4346,Phương tiện vận tải khác và PT,430,,830.427173,80.7935972231291,2015-08-28,2015-08,2015-07,616.6666666666667
4347,TỔNG TRỊ GIÁ,14800,,95639,16.400000000000006,2015-07-29,2015-07,2015-06,-1.3333333333333286
4348,Khu vực kinh tế trong nước,6300,,38971,7.900000000000006,2015-07-29,2015-07,2015-06,2.439024390243901
4349,Khu vực có vốn đầu tư NN,8500,,56668,23.099999999999994,2015-07-29,2015-07,2015-06,-3.9548022598870034
4350,Thủy sản,90,,601.396348,-0.0898050915029529,2015-07-29,2015-07,2015-06,12.23904422218341
4351,Sữa và sản phẩm sữa,75,,588.919185,-13.062504857967,2015-07-29,2015-07,2015-06,-25.0
4352,Rau quả,65,,318.056331,2.521475903763303,2015-07-29,2015-07,2015-06,18.181818181818187
4353,Lúa mỳ,48.31478627968338,,371.1368472796834,4.098248354036855,2015-07-29,2015-07,2015-06,-21.23603927063438
4354,Dầu mỡ động thực vật,45,,367.175395,-10.415357142533864,2015-07-29,2015-07,2015-06,0.0
4355,Thức ăn gia súc và NPL,290,,1967.845216,3.1267763484329265,2015-07-29,2015-07,2015-06,-3.3333333333333286
4356,Xăng dầu,492.444063167474,,3395.836820167474,-34.37153396032036,2015-07-29,2015-07,2015-06,7.053057210320432
4357,Khí đốt hóa lỏng,48.67095561222285,,329.6964276122228,-27.511420782461897,2015-07-29,2015-07,2015-06,13.684958000522826
4358,Sản phẩm khác từ dầu mỏ,90,,636.925288,7.640812142542643,2015-07-29,2015-07,2015-06,-10.0
4359,Hóa chất,300,,1881.142418,0.7527307747480023,2015-07-29,2015-07,2015-06,-3.225806451612897
4360,Sản phẩm hoá chất,300,,1938.871729,7.09282374332885,2015-07-29,2015-07,2015-06,-6.25
4361,Tân dược,220,,1248.375362,8.023624949213115,2015-07-29,2015-07,2015-06,10.000000000000014
4362,Phân bón,138.79109343043845,,789.0086744304384,15.305167800302755,2015-07-29,2015-07,2015-06,5.489251885546693
4363,Thuốc trừ sâu,65,,463.428731,0.12050205041811068,2015-07-29,2015-07,2015-06,-7.142857142857139
4364,Chất dẻo,530.6062170802253,,3347.157483080225,-6.1909110872121005,2015-07-29,2015-07,2015-06,-7.406567367853896
4365,Sản phẩm chất dẻo,340,,2102.437307,22.98612388870886,2015-07-29,2015-07,2015-06,6.14792815228877
4366,Cao su,62.3598330909091,,387.2338550909091,9.124490579696356,2015-07-29,2015-07,2015-06,-7.5072024027987965
4367,Gỗ và sản phẩm gỗ,200,,1285.332092,-6.1100738098543985,2015-07-29,2015-07,2015-06,0.0
4368,Giấy các loại,130.91191635968516,,813.9691473596852,2.853673317043672,2015-07-29,2015-07,2015-06,-1.6870366325722017
4369,Bông,151.47715454172692,,1007.4395675417269,12.729529415973076,2015-07-29,2015-07,2015-06,-5.318102961223019
4370,Sợi dệt,144.5103243075971,,902.4438283075971,1.3108688097045444,2015-07-29,2015-07,2015-06,-3.8905497241787117
4371,Vải,950,,5931.590647,9.839119114815205,2015-07-29,2015-07,2015-06,-13.63636363636364
4372,"Nguyên PL dệt, may, giày dép",460,,2962.304335,9.678947867087658,2015-07-29,2015-07,2015-06,-8.0
4373,Sắt thép,838.7863981394825,,4657.805860139482,15.1076710207428,2015-07-29,2015-07,2015-06,18.106955627253257
4374,Kim loại thường khác,369.2768757416044,,2182.5575007416046,13.696142319303092,2015-07-29,2015-07,2015-06,2.4864819608990274
4375,"Điện tử, máy tính và linh kiện",1900,,13089.060758,34.47437596223929,2015-07-29,2015-07,2015-06,-5.0
4376,Điện thoại và linh kiện,900,,6121.908323,34.96378688027039,2015-07-29,2015-07,2015-06,5.882352941176478
4377,"Máy móc thiết bị, dụng cụ PT khác",2600,,16555.456478,35.09924913941168,2015-07-29,2015-07,2015-06,0.0
4378,Ô tô,500.5571361019737,,3412.573791101974,87.88865385881738,2015-07-29,2015-07,2015-06,-19.895472490594898
4379,Trong đó: Nguyên chiếc(*),210.5571361019737,,1722.710372101974,154.37883266954574,2015-07-29,2015-07,2015-06,-38.94770265557703
4380,"Xe máy và linh kiện, phụ tùng",29.694601636363632,,194.30208463636365,-11.19293351408784,2015-07-29,2015-07,2015-06,-1.017994545454556
4381,Phương tiện vận tải khác và PT,60,,335.504921,-16.607600982643817,2015-07-29,2015-07,2015-06,10.029448281538066
4382,TỔNG TRỊ GIÁ,15000,,81498,17.700000000000003,2015-06-29,2015-06,2015-05,4.166666666666671
4383,Khu vực kinh tế trong nước,6150,,32690,7.700000000000003,2015-06-29,2015-06,2015-05,2.499999999999986
4384,Khu vực có vốn đầu tư NN,8850,,48808,25.5,2015-06-29,2015-06,2015-05,5.357142857142861
4385,Thủy sản,80.186,,505.662367,2.058054429021624,2015-06-29,2015-06,2015-05,-5.663529411764699
4386,Sữa và sản phẩm sữa,100,,536.451271,-6.920895552361088,2015-06-29,2015-06,2015-05,0.0
4387,Rau quả,55,,243.114717,-1.334085335021868,2015-06-29,2015-06,2015-05,37.5
4388,Lúa mỳ,61.34123504237407,,314.39435504237406,0.4310569550610239,2015-06-29,2015-06,2015-05,48.9901113946016
4389,Dầu mỡ động thực vật,45,,324.118519,-5.063179904748765,2015-06-29,2015-06,2015-05,-35.71428571428571
4390,Thức ăn gia súc và NPL,300,,1728.945285,7.571650372916892,2015-06-29,2015-06,2015-05,20.0
4391,Xăng dầu,460,,2918.202742,-32.03333104858838,2015-06-29,2015-06,2015-05,-10.435415289472388
4392,Khí đốt hóa lỏng,42.812133168927254,,288.16609716892725,-19.138710468487687,2015-06-29,2015-06,2015-05,-16.220707237091176
4393,Sản phẩm khác từ dầu mỏ,100,,551.41453,7.939679125948885,2015-06-29,2015-06,2015-05,0.0
4394,Hóa chất,310,,1607.493752,3.264803421388308,2015-06-29,2015-06,2015-05,-3.125
4395,Sản phẩm hoá chất,320,,1656.676357,10.409524393786398,2015-06-29,2015-06,2015-05,6.666666666666671
4396,Tân dược,200,,1016.908774,5.799779200502215,2015-06-29,2015-06,2015-05,0.0
4397,Phân bón,131.56894275923338,,638.7670857592334,9.89213200455707,2015-06-29,2015-06,2015-05,5.304914196052096
4398,Thuốc trừ sâu,70,,408.245393,0.7244569584710376,2015-06-29,2015-06,2015-05,-6.666666666666671
4399,Chất dẻo,573.0495154966446,,2874.5987714966445,-4.0330467683977815,2015-06-29,2015-06,2015-05,12.975629493284728
4400,Sản phẩm chất dẻo,320.307712,,1767.4913430000001,22.380935482458625,2015-06-29,2015-06,2015-05,6.769237333333322
4401,Cao su,67.42128545238866,,334.37753545238866,10.299213496418076,2015-06-29,2015-06,2015-05,12.368809087314432
4402,Gỗ và sản phẩm gỗ,200,,1094.790942,-9.81004191704423,2015-06-29,2015-06,2015-05,0.0
4403,Giấy các loại,133.15834644351466,,686.6310414435147,2.860991906249268,2015-06-29,2015-06,2015-05,9.080093263215375
4404,Bông,159.9853396258943,,863.3453186258943,9.048113198592105,2015-06-29,2015-06,2015-05,-3.758326144189212
4405,Sợi dệt,150.3601611421892,,771.6010801421892,2.144168455369382,2015-06-29,2015-06,2015-05,-0.5426747653771287
