,Ngành,Total-Pre-Month,E-Total-M,E-MOM,YOY,Total-YTD,YTD-YOY,Date,Month,PreMonth,Total-M,MOM
2586,Vải dệt từ sợi tổng hợp hoặc sợi nhân tạo,523.9,94.9,-81.88585607940446,6.8999999999999915,618.8,19.145059820240277,2018-07-27,2018-07,2018-06,90.92209995717442,-82.64514221088481
2587,Quần áo mặc thường,2288.0,416.9,-81.77884615384616,15.560000000000002,2704.9,10.404080480604321,2018-07-27,2018-07,2018-06,413.6164901806515,-81.92235619839809
2588,"Giày, dép da",128.1,26.9,-79.0007806401249,11.260000000000005,155.0,6.599914532586524,2018-07-27,2018-07,2018-06,23.931555558982136,-81.31806747932698
2589,Phân U rê,1174.6999999999998,194.9,-83.4085298374053,-11.339819295262899,1369.6,-3.4916527445037104,2018-07-27,2018-07,2018-06,197.8998,-83.15316250957692
2590,Phân hỗn hợp N.P.K,1492.8,259.8,-82.59646302250803,11.870000000000019,1752.6,3.6686610403376534,2018-07-27,2018-07,2018-06,241.13232256303777,-83.84697732026811
2591,Sơn hoá học,407.9,74.3,-81.7847511645011,13.86,482.2,6.223412157982082,2018-07-27,2018-07,2018-06,71.30405460528564,-82.5192315260393
2592,"Dầu gội đầu, dầu xả",31.599999999999998,5.2,-83.54430379746836,16.060000000000002,36.8,-1.9875100608081766,2018-07-27,2018-07,2018-06,5.2,-83.54430379746836
2593,"Sữa tắm, sữa rửa mặt",17.400000000000002,3.2,-81.60919540229885,21.110000000000014,20.6,-2.770865530735847,2018-07-27,2018-07,2018-06,3.2,-81.60919540229885
2594,Xi măng,44.2,7.9,-82.12669683257919,20.639999999999986,52.1,10.635088936588062,2018-07-27,2018-07,2018-06,6.96257114487256,-84.24757659531096
2595,"Sắt, thép thô",7516.6,1640.5,-78.17497272703083,31.180000000000007,9157.1,41.05783029539418,2018-07-27,2018-07,2018-06,1569.7811589403686,-79.11580822525652
2596,Thép cán,2781.7999999999997,500.3,-82.01524192968581,9.89,3282.1,5.544548991759953,2018-07-27,2018-07,2018-06,501.41266510002055,-81.97524390322738
2597,"Thép thanh, thép góc",3252.2000000000003,543.6,-83.28516081421807,1.0699999999999932,3795.8,11.521098971485074,2018-07-27,2018-07,2018-06,490.1943240660281,-84.92730077897951
