,Ngành,Tổng số,YOY,Date
33,Công nghiệp và xây dựng,605975.234475156,5.159876363962994,2023-12-29
34,Công nghiệp,482527.298959026,4.508920172578996,2023-12-29
35,Khai khoáng,37522,-5.503605865098905,2023-12-29
36,"Công nghiệp chế biến, chế tạo",389157.453553266,5.593330919937003,2023-12-29
37,"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",47042.1249758484,5.117524723331002,2023-12-29
38,"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",8806.26440425097,2.993036761370007,2023-12-29
39,Xây dựng,123447.93551613,7.9974502782749965,2023-12-29
40,Dịch vụ,716361.560202913,6.425505204073005,2023-12-29
41,"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",143413.355792598,8.743418735126994,2023-12-29
42,"Vận tải, kho bãi",86518.0845449524,9.737584337130997,2023-12-29
43,Dịch vụ lưu trú và ăn uống,39034.6666154463,9.377573484227995,2023-12-29
44,Thông tin và truyền thông,88342.5597433072,4.142854117693005,2023-12-29
45,"Hoạt động tài chính, ngân hàng và bảo hiểm",95135.1255800655,4.781766413883005,2023-12-29
46,Hoạt động kinh doanh bất động sản,60962.9671501657,-0.2356910777744048,2023-12-29
47,"Hoạt động chuyên môn, khoa học và công nghệ",42532.5209244151,6.316742976070998,2023-12-29
48,Hoạt động hành chính và dịch vụ hỗ trợ,21489.4488280909,10.448488322082994,2023-12-29
49,"Hoạt động của Đảng Cộng sản, tổ chức chính trị- xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc",39079.7868587319,5.834279365479006,2023-12-29
50,Giáo dục và đào tạo,53029.7057469221,4.489999999999995,2023-12-29
51,Y tế và hoạt động trợ giúp xã hội,22374.370500534,4.960382819554994,2023-12-29
52,"Nghệ thuật, vui chơi và giải trí",12512.1498536656,11.835231368812003,2023-12-29
53,Hoạt động dịch vụ khác,10319.9949743714,10.655370268832996,2023-12-29
54,"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình",1616.82308964726,5.432730997594007,2023-12-29
55,Thuế sản phẩm trừ trợ cấp sản phẩm,137020.499840528,3.6369377134249987,2023-12-29
56,TỔNG SỐ,1450322.4543775164,4.051099546801382,2023-09-29
57,"Nông, lâm nghiệp và thủy sản",154315.7569779795,3.6585155978690693,2023-09-29
58,Nông nghiệp,109698.172386306,3.6721533300351012,2023-09-29
59,Lâm nghiệp,7057.619422222135,3.3129072887212203,2023-09-29
60,Thủy sản,37559.96516945155,3.6915464779328175,2023-09-29
61,Công nghiệp và xây dựng,539923.7542936617,2.098934559330786,2023-09-29
62,Công nghiệp,438576.1678545013,0.9489182107781318,2023-09-29
63,Khai khoáng,35181.84481627717,0.795250395549246,2023-09-29
64,"Công nghiệp chế biến, chế tạo",341434.4858284739,0.5985480362809881,2023-09-29
65,"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",53905.55999456905,2.5558549509890724,2023-09-29
66,"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",8054.277215181228,6.570114660479803,2023-09-29
67,Xây dựng,101347.58643916035,7.6675544668564015,2023-09-29
68,Dịch vụ,626848.0921170809,6.172831750452573,2023-09-29
69,"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",127230.4177829492,8.003386653488633,2023-09-29
70,"Vận tải, kho bãi",79538.9966779244,9.582397055115123,2023-09-29
71,Dịch vụ lưu trú và ăn uống,36253.06505600602,8.841479187343438,2023-09-29
72,Thông tin và truyền thông,82117.31544406596,3.9478184852866463,2023-09-29
73,"Hoạt động tài chính, ngân hàng và bảo hiểm",80011.67610624965,6.0835981090774,2023-09-29
74,Hoạt động kinh doanh bất động sản,48809.338948596596,-1.1009016546944537,2023-09-29
75,"Hoạt động chuyên môn, khoa học và công nghệ",39406.18003175681,5.788843188571619,2023-09-29
76,Hoạt động hành chính và dịch vụ hỗ trợ,20191.594079619816,10.998243653487336,2023-09-29
77,"Hoạt động của Đảng Cộng sản, tổ chức chính trị- xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc",27893.21509639827,5.377259253955046,2023-09-29
78,Giáo dục và đào tạo,43985.90799164368,4.574352591015014,2023-09-29
79,Y tế và hoạt động trợ giúp xã hội,19597.14946023066,1.573559141569561,2023-09-29
80,"Nghệ thuật, vui chơi và giải trí",11535.622685312203,9.657701067238648,2023-09-29
81,Hoạt động dịch vụ khác,8744.899501312564,9.666821460512836,2023-09-29
82,"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình",1532.71325501533,4.759724848760726,2023-09-29
83,Thuế sản phẩm trừ trợ cấp sản phẩm,129234,2.3288630605818383,2023-09-29
84,TỔNG SỐ,1407472.9780028649,3.2754571640641643,2023-06-29
85,"Nông, lâm nghiệp và thủy sản",143521.4970017262,2.8971602126519826,2023-06-29
86,Nông nghiệp,101984.23910199682,2.8505051621286555,2023-06-29
87,Lâm nghiệp,7303,3.7323460430978486,2023-06-29
88,Thủy sản,34233.664129457014,2.9100005437718437,2023-06-29
89,Công nghiệp và xây dựng,512382.6145217025,-0.35483822134544596,2023-06-29
90,Công nghiệp,420784,-0.7495387230460722,2023-06-29
91,Khai khoáng,41599.28643050542,-4.078889222540454,2023-06-29
92,"Công nghiệp chế biến, chế tạo",321965.73022533656,-0.4903239474343337,2023-06-29
93,"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",49440,-0.20999999999999375,2023-06-29
94,"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",7778.815530453428,4.688007094449588,2023-06-29
95,Xây dựng,91599.35247146257,1.8805970431693453,2023-06-29
96,Dịch vụ,623252.5027198007,6.561001661097478,2023-06-29
97,"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",135910.9314100822,7.98255738980896,2023-06-29
98,"Vận tải, kho bãi",82738.33681197824,6.683090208338683,2023-06-29
99,Dịch vụ lưu trú và ăn uống,31744.76056429147,22.89171251087099,2023-06-29
100,Thông tin và truyền thông,80268.73720177531,1.2674572050278385,2023-06-29
101,"Hoạt động tài chính, ngân hàng và bảo hiểm",69548.6318382505,7.789891570570973,2023-06-29
102,Hoạt động kinh doanh bất động sản,47798.91659163793,-0.7383215725400589,2023-06-29
103,"Hoạt động chuyên môn, khoa học và công nghệ",38033.661796227585,6.702822045298177,2023-06-29
104,Hoạt động hành chính và dịch vụ hỗ trợ,22570.097979495862,16.762941476455097,2023-06-29
105,"Hoạt động của Đảng Cộng sản, tổ chức chính trị- xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc",28340.68511891899,4.420000000000002,2023-06-29
106,Giáo dục và đào tạo,45345.45821802248,3.8799999999999955,2023-06-29
107,Y tế và hoạt động trợ giúp xã hội,20391.81316635363,-0.8906012104186658,2023-06-29
108,"Nghệ thuật, vui chơi và giải trí",10024.214934412994,12.721125752452636,2023-06-29
109,Hoạt động dịch vụ khác,9004.057327556566,11.452683353009647,2023-06-29
110,"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình",1532.1997607969124,4.239999999999995,2023-06-29
111,Thuế sản phẩm trừ trợ cấp sản phẩm,128316.36375963544,2.5500000000000114,2023-06-29
112,TỔNG SỐ,1320754.54785327,3.318918280789802,2023-03-29
113,"Nông, lâm nghiệp và thủy sản",140836.3475942324,2.5243977148109167,2023-03-29
114,Nông nghiệp,109002.0579984661,2.42900514739641,2023-03-29
115,Lâm nghiệp,5757.283307000149,3.6563738158337173,2023-03-29
116,Thủy sản,26077.006288766126,2.6765475402258403,2023-03-29
117,Công nghiệp và xây dựng,459242.83658296533,-0.4043055208035611,2023-03-29
118,Công nghiệp,388692.93674879364,-0.820733585737571,2023-03-29
119,Khai khoáng,39265.77362424832,-5.600361371925487,2023-03-29
120,"Công nghiệp chế biến, chế tạo",297173.0598460032,-0.37088282594453403,2023-03-29
121,"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",45134.40536165214,-0.31863082127773623,2023-03-29
122,"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",7119.6979168899625,5.380100874833872,2023-03-29
123,Xây dựng,70549.89983417172,1.9541864939677964,2023-03-29
124,Dịch vụ,590816.6225768188,6.78833688102425,2023-03-29
125,"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",130312.8539860835,8.093933791679731,2023-03-29
126,"Vận tải, kho bãi",77665.06340806381,6.84568079558359,2023-03-29
127,Dịch vụ lưu trú và ăn uống,35611.162810871145,25.977295923400945,2023-03-29
128,Thông tin và truyền thông,78663.66193320256,1.4994298615646642,2023-03-29
129,"Hoạt động tài chính, ngân hàng và bảo hiểm",72585.3569345439,7.648709669598432,2023-03-29
130,Hoạt động kinh doanh bất động sản,46620.47285260145,-0.109786036705259,2023-03-29
131,"Hoạt động chuyên môn, khoa học và công nghệ",32669.268231151258,6.115980810610154,2023-03-29
132,Hoạt động hành chính và dịch vụ hỗ trợ,22146.083386134356,17.9857089319472,2023-03-29
133,"Hoạt động của Đảng Cộng sản, tổ chức chính trị-xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc",21787.461441023508,4.459999999999994,2023-03-29
134,Giáo dục và đào tạo,38010.094013617876,3.1499999999999915,2023-03-29
135,Y tế và hoạt động trợ giúp xã hội,14935.33930708111,-1.5558598277618074,2023-03-29
136,"Nghệ thuật, vui chơi và giải trí",9518.12861554505,12.721125752452636,2023-03-29
137,Hoạt động dịch vụ khác,8770.432384503782,12.321905408838802,2023-03-29
138,"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình",1521.243272395568,4.239999999999995,2023-03-29
139,Thuế sản phẩm trừ trợ cấp sản phẩm,129858.74109925347,2.5799999999999983,2023-03-29
140,TỔNG SỐ,1538951.3435323397,13.71443264446286,2022-12-29
141,"Nông, lâm nghiệp và thủy sản",178957.6007508889,3.6911619418131636,2022-12-29
142,Nông nghiệp,135140.29788352601,2.9773397631217335,2022-12-29
143,Lâm nghiệp,8371.676887505222,7.267307229910202,2022-12-29
144,Thủy sản,35445.625979857665,5.1549442380215424,2022-12-29
145,Công nghiệp và xây dựng,562396.4740368334,12.192176064239987,2022-12-29
146,Công nghiệp,447691,11.062030940516124,2022-12-29
147,Khai khoáng,36459,6.435393440586097,2022-12-29
148,"Công nghiệp chế biến, chế tạo",360071.756946437,11.584107755734195,2022-12-29
149,"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",42915.123509268626,11.553029802459093,2022-12-29
150,"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",8245.080150531614,9.53006724065881,2022-12-29
151,Xây dựng,114704.96617167412,17.53630998816149,2022-12-29
152,Dịch vụ,666854.013613726,19.344503013074316,2022-12-29
153,"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",128221.8354674113,24.920460787899245,2022-12-29
154,"Vận tải, kho bãi",77196.24732071755,27.344412123613054,2022-12-29
155,Dịch vụ lưu trú và ăn uống,35446.91979058647,172.30386989298643,2022-12-29
156,Thông tin và truyền thông,85845.92189988361,9.771476785074043,2022-12-29
157,"Hoạt động tài chính, ngân hàng và bảo hiểm",91098.19330553726,9.318864435868377,2022-12-29
158,Hoạt động kinh doanh bất động sản,57908.13468302008,11.750545732813137,2022-12-29
159,"Hoạt động chuyên môn, khoa học và công nghệ",39935.09182089764,6.3269716649859475,2022-12-29
160,Hoạt động hành chính và dịch vụ hỗ trợ,20197.34334308184,125.49473267715814,2022-12-29
161,"Hoạt động của Đảng Cộng sản, tổ chức chính trị- xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc",37059.23613698612,3.756423001375069,2022-12-29
162,Giáo dục và đào tạo,50429.481237179716,5.9699022820274905,2022-12-29
163,Y tế và hoạt động trợ giúp xã hội,21165.781725840567,-17.777628312668327,2022-12-29
164,"Nghệ thuật, vui chơi và giải trí",11072.931304365555,28.44892137044829,2022-12-29
165,Hoạt động dịch vụ khác,9745.442030745828,55.12174030263759,2022-12-29
166,"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình",1531.4535474725117,4.980000000000032,2022-12-29
167,Thuế sản phẩm trừ trợ cấp sản phẩm,130743.25513089112,8.093173884244294,2022-12-29
168,TỔNG SỐ,1376320.95164018,7.828583142557477,2022-09-29
169,"Nông, lâm nghiệp và thủy sản",148123.2246324832,3.051358017506331,2022-09-29
170,Nông nghiệp,105276.7926314883,2.2266367091025216,2022-09-29
171,Lâm nghiệp,6782,5.2916261182405435,2022-09-29
172,Thủy sản,36063.91402379449,5.083257032986438,2022-09-29
173,Công nghiệp và xây dựng,516566.66795200773,8.70379432418747,2022-09-29
174,Công nghiệp,423411.67467385554,9.51423846746647,2022-09-29
175,Khai khoáng,37482,4.499469034803354,2022-09-29
176,"Công nghiệp chế biến, chế tạo",327452.4547674595,11.073189067566986,2022-09-29
177,"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",50682.938073042984,4.529999999999973,2022-09-29
178,"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",7794.876314421302,6.30451460156452,2022-09-29
179,Xây dựng,93154.99327815216,4.943251171793193,2022-09-29
180,Dịch vụ,587646.7209197523,8.916258895297219,2022-09-29
181,"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",113933.90221072928,8.324524001922413,2022-09-29
182,"Vận tải, kho bãi",73340.80823334288,9.496363749919183,2022-09-29
183,Dịch vụ lưu trú và ăn uống,33259.82588609738,26.59168479274095,2022-09-29
184,Thông tin và truyền thông,79432.05577809268,7.862624929478159,2022-09-29
185,"Hoạt động tài chính, ngân hàng và bảo hiểm",74445.22849123733,8.689680660494787,2022-09-29
186,Hoạt động kinh doanh bất động sản,49303.00696760155,6.228604354538831,2022-09-29
187,"Hoạt động chuyên môn, khoa học và công nghệ",37035.03106515236,6.2558458213275685,2022-09-29
188,Hoạt động hành chính và dịch vụ hỗ trợ,19891.55592826534,19.132303043978723,2022-09-29
189,"Hoạt động của Đảng Cộng sản, tổ chức chính trị- xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc",26088.013828490606,2.636707932287649,2022-09-29
190,Giáo dục và đào tạo,42095.806289255604,5.32998865853736,2022-09-29
191,Y tế và hoạt động trợ giúp xã hội,18957.154234607024,7.1035429702174895,2022-09-29
192,"Nghệ thuật, vui chơi và giải trí",10168.731289980507,14.845725550706518,2022-09-29
193,Hoạt động dịch vụ khác,8241.865012139999,15.782703908188836,2022-09-29
194,"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình",1453.7357047597516,3.5931540481453936,2022-09-29
195,Thuế sản phẩm trừ trợ cấp sản phẩm,123984.33813593697,4.942319189024772,2022-09-29
196,TỔNG SỐ,1346821.3015521285,5.052647625549511,2022-06-29
197,"Nông, lâm nghiệp và thủy sản",141144.11407757463,2.530990760132724,2022-06-29
198,Nông nghiệp,99473.39520843241,2.403388624621215,2022-06-29
199,Lâm nghiệp,7128.158003798267,4.484429492903288,2022-06-29
200,Thủy sản,34542.56086534395,2.6135708976604377,2022-06-29
201,Công nghiệp và xây dựng,521538.4868116617,6.408035022807226,2022-06-29
202,Công nghiệp,437062.4845474508,6.974256921493847,2022-06-29
203,Khai khoáng,39505.40900227443,1.1140462154046276,2022-06-29
204,"Công nghiệp chế biến, chế tạo",342144.16483440285,7.724672664860989,2022-06-29
205,"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",48346.3889997759,7.114308271373602,2022-06-29
206,"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",7066.5217109975765,6.458793272552256,2022-06-29
207,Xây dựng,84476.00226421088,3.2812314028698637,2022-06-29
208,Dịch vụ,558902.7014410442,4.642051448361428,2022-06-29
209,"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",116731.97199682609,3.421914323442593,2022-06-29
210,"Vận tải, kho bãi",65826.98481314095,6.9721755421095395,2022-06-29
211,Dịch vụ lưu trú và ăn uống,27843.000179812236,-1.180770867874898,2022-06-29
212,Thông tin và truyền thông,74230.31224919643,5.850106871138621,2022-06-29
213,"Hoạt động tài chính, ngân hàng và bảo hiểm",66312.4525289936,9.822497771103016,2022-06-29
214,Hoạt động kinh doanh bất động sản,46532.14089997716,1.853417831873898,2022-06-29
215,"Hoạt động chuyên môn, khoa học và công nghệ",36058.275497775125,6.270552675215768,2022-06-29
216,Hoạt động hành chính và dịch vụ hỗ trợ,18360.184138455137,-3.71295295106637,2022-06-29
217,"Hoạt động của Đảng Cộng sản, tổ chức chính trị- xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc",27474.415005011968,2.9199999999999875,2022-06-29
218,Giáo dục và đào tạo,43388.809607100295,5.1999999999998465,2022-06-29
219,Y tế và hoạt động trợ giúp xã hội,17862.739353425124,10.275929607664722,2022-06-29
220,"Nghệ thuật, vui chơi và giải trí",9150.040350810974,2.484621581786442,2022-06-29
221,Hoạt động dịch vụ khác,7690.408211512267,-4.020915940076421,2022-06-29
222,"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình",1440.9666090068897,2.7299999999999898,2022-06-29
223,Thuế sản phẩm trừ trợ cấp sản phẩm,125235.99922184781,4.5800000000000125,2022-06-29
224,TỔNG SỐ,1255312.381476204,5.031830181024418,2022-03-29
225,"Nông, lâm nghiệp và thủy sản",130990.22678985418,2.4475643650120986,2022-03-29
226,Nông nghiệp,101499.7202754924,2.34758823029739,2022-03-29
227,Lâm nghiệp,5710.042265209298,3.8630878663990416,2022-03-29
228,Thủy sản,23780.46424915248,2.539525623928313,2022-03-29
229,Công nghiệp và xây dựng,462709.7753793206,6.383478489251587,2022-03-29
230,Công nghiệp,394308.68484233436,7.073884163209129,2022-03-29
231,Khai khoáng,37037.98258799184,1.227496016695568,2022-03-29
232,"Công nghiệp chế biến, chế tạo",304815.0047353936,7.792414224189571,2022-03-29
233,"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",44929.2471390923,7.4211509999999805,2022-03-29
234,"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",7527,6.536340935196904,2022-03-29
235,Xây dựng,68401.09053698623,2.5709043631656954,2022-03-29
236,Dịch vụ,535753.7766708999,4.578904723951638,2022-03-29
237,"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",116702.98782219859,2.980492728833255,2022-03-29
238,"Vận tải, kho bãi",69372.84930651388,7.058038458118006,2022-03-29
239,Dịch vụ lưu trú và ăn uống,25868.453870269062,-1.7861932663423943,2022-03-29
240,Thông tin và truyền thông,73519.97057681406,5.6398914896448105,2022-03-29
241,"Hoạt động tài chính, ngân hàng và bảo hiểm",65885.20752964303,9.750209321407667,2022-03-29
242,Hoạt động kinh doanh bất động sản,46889.18632880993,1.7829491339387715,2022-03-29
243,"Hoạt động chuyên môn, khoa học và công nghệ",30862.290287371303,6.408466570237081,2022-03-29
244,Hoạt động hành chính và dịch vụ hỗ trợ,15943.333560144214,-3.874483147548972,2022-03-29
245,"Hoạt động của Đảng Cộng sản, tổ chức chính trị-xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc",21067.388524628255,2.9199999999999875,2022-03-29
246,Giáo dục và đào tạo,37058.216056048754,5.450000000000003,2022-03-29
247,Y tế và hoạt động trợ giúp xã hội,14594.221206406226,13.220208553432158,2022-03-29
248,"Nghệ thuật, vui chơi và giải trí",8708.867425229497,2.484621581786442,2022-03-29
249,Hoạt động dịch vụ khác,7841.362505309429,-3.749164906595553,2022-03-29
250,"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình",1439.4416715136658,2.730000000000004,2022-03-29
251,Thuế sản phẩm trừ trợ cấp sản phẩm,125858,4.820000000000007,2022-03-29
252,TỔNG SỐ,1467489.7258432508,-6.0247748020650675,2021-12-29
253,"Nông, lâm nghiệp và thủy sản",157234.40851039463,1.196006503406366,2021-12-29
254,Nông nghiệp,116344.71513832983,2.6996018899423433,2021-12-29
255,Lâm nghiệp,7055.371441699634,2.5640665288527913,2021-12-29
256,Thủy sản,33834.32193036517,-3.871447021078154,2021-12-29
257,Công nghiệp và xây dựng,547528.6645866262,-5.486067695324408,2021-12-29
258,Công nghiệp,438203,-4.3956382243612495,2021-12-29
259,Khai khoáng,42271.2231356326,-9.07727019101084,2021-12-29
260,"Công nghiệp chế biến, chế tạo",347457,-4.090783293536205,2021-12-29
261,"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",40746.8823344176,-2.593151942639281,2021-12-29
262,"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",7728.0667497865925,-0.23161149070909914,2021-12-29
263,Xây dựng,109326.20999306046,-10.083013222665173,2021-12-29
264,Dịch vụ,634633,-8.571167828334808,2021-12-29
265,"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",125067.97325028272,-17.050852765553557,2021-12-29
266,"Vận tải, kho bãi",75024.57664159182,-19.608807403436984,2021-12-29
267,Dịch vụ lưu trú và ăn uống,26041.7595686325,-54.06190772082648,2021-12-29
268,Thông tin và truyền thông,81373.96971571057,5.083810044444121,2021-12-29
269,"Hoạt động tài chính, ngân hàng và bảo hiểm",82650.643109335,7.889084210261757,2021-12-29
270,Hoạt động kinh doanh bất động sản,55171.852853601304,-9.719546262754335,2021-12-29
271,"Hoạt động chuyên môn, khoa học và công nghệ",37642.408423676934,3.47682219124556,2021-12-29
272,Hoạt động hành chính và dịch vụ hỗ trợ,16066.784141360136,-33.84235984227956,2021-12-29
273,"Hoạt động của Đảng Cộng sản, tổ chức chính trị- xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc",35561.674682346245,1.4557434343582543,2021-12-29
274,Giáo dục và đào tạo,47588.0122784332,1.8622141122203146,2021-12-29
275,Y tế và hoạt động trợ giúp xã hội,33947.8500521702,38.492226471162866,2021-12-29
276,"Nghệ thuật, vui chơi và giải trí",9508.830474578768,-7.873430186739952,2021-12-29
277,Hoạt động dịch vụ khác,7465.11427939521,-31.953191214724,2021-12-29
278,"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình",1520.8522602072353,0.2999999999999261,2021-12-29
279,Thuế sản phẩm trừ trợ cấp sản phẩm,128094.351014908,-6.186815539106561,2021-12-29
280,TỔNG SỐ,1201065.954587767,6.570691712751994,2021-09-29
281,"Nông, lâm nghiệp và thủy sản",156016.90966242264,4.007539612366813,2021-09-29
282,Nông nghiệp,116001.54164544868,3.665093832795037,2021-09-29
283,Lâm nghiệp,6537.97083064686,4.009328772464585,2021-09-29
284,Thủy sản,33477.39718632708,5.032367358530763,2021-09-29
285,Công nghiệp và xây dựng,450933.1943209955,10.359445168696936,2021-09-29
286,Công nghiệp,370299.7199961913,11.178156141945152,2021-09-29
287,Khai khoáng,38261.13027959816,-4.6809321383318405,2021-09-29
288,"Công nghiệp chế biến, chế tạo",283026.53168470936,13.352709618284436,2021-09-29
289,"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",41920.968302782785,12.82881825357751,2021-09-29
290,"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",7091.08972910098,7.845006707143924,2021-09-29
291,Xây dựng,80633.47432480415,6.519390946954374,2021-09-29
292,Dịch vụ,481370.5966442115,4.2206013845476065,2021-09-29
293,"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",87102.53411338851,4.648507367806559,2021-09-29
294,"Vận tải, kho bãi",55038.781551455344,-0.10950846280321969,2021-09-29
295,Dịch vụ lưu trú và ăn uống,13242.302417690293,-4.470394119192761,2021-09-29
296,Thông tin và truyền thông,69970.98937746303,5.306108754308994,2021-09-29
