,Phân Loại,E-Total-M,YOP,YTD-YOY,Total-YOY,Total-Pre-Month,E-MOM,Date,Month,PreMonth,PreYearMonth,Total-M,MOM,M-YOY
5317,Đồng Tháp,144.704,23.92830334515024,-1.9801603409782587,386.355,113.961,26.976772755591824,2013-03-29,2013-03,2013-02,2012-03,147.102,29.081001395214173,
5318,Khánh Hòa,170.0,14.489716501712802,-10.67771173321674,377.93600000000004,102.558,65.75986271183135,2013-03-29,2013-03,2013-02,2012-03,171.43,67.15419567464264,1.0790094339622698
5319,Lâm Đồng,171.316,24.312467594570126,18.753157456189257,362.0,80.738,112.18756966979612,2013-03-29,2013-03,2013-02,2012-03,171.316,112.18756966979612,0.537558685446001
5320,Đắk Nông,95.921,36.246122338342914,-44.10685590614811,361.044,86.399,11.02096089075107,2013-03-29,2013-03,2013-02,2012-03,224.67,160.03773191819346,
5321,Lai Châu,139.782,25.82761648174768,72.98950251026929,360.069,59.495,134.94747457769566,2013-03-29,2013-03,2013-02,2012-03,139.623,134.68022522901083,
5322,TỔNG SỐ,8113.9890000000005,10.472185085686908,-8.06543104030817,20118.131,12004.142,-32.40675593474319,2013-02-28,2013-02,2013-01,2012-02,9123.643,-23.995875756884573,-18.37346228516725
5323,Trung ương,1375.0,8.076066704128236,-29.866079618418638,3823.0,2448.0,-43.83169934640523,2013-02-28,2013-02,2013-01,2012-02,1556.0,-36.43790849673203,-47.785234899328856
5324,Địa phương,6738.9890000000005,11.255661329370986,-0.8335278554481249,16295.131,9556.142,-29.480024470126125,2013-02-28,2013-02,2013-01,2012-02,7567.643,-20.808596188712983,-7.681273102118979
5325,Bộ Giao thông Vận tải,243.0,10.173364002655264,-28.910463861920178,659.0,416.0,-41.58653846153846,2013-02-28,2013-02,2013-01,2012-02,245.0,-41.105769230769226,-49.48453608247423
5326,Bộ NN và PTNT,114.0,7.1301247771836,-33.75262054507337,316.0,202.0,-43.56435643564357,2013-02-28,2013-02,2013-01,2012-02,118.0,-41.584158415841586,-56.61764705882353
5327,Bộ Xây dựng,67.0,7.998420065172311,-7.954545454545453,162.0,95.0,-29.473684210526315,2013-02-28,2013-02,2013-01,2012-02,68.0,-28.421052631578945,-29.896907216494853
5328,Bộ Y tế,20.5,7.9437131184748075,-38.05309734513275,70.0,49.5,-58.58585858585859,2013-02-28,2013-02,2013-01,2012-02,24.0,-51.515151515151516,-63.07692307692307
5329,Bộ Giáo dục - Đào tạo,21.0,9.75609756097561,-39.28571428571429,68.0,47.0,-55.319148936170215,2013-02-28,2013-02,2013-01,2012-02,25.0,-46.808510638297875,-59.01639344262295
5330,"Bộ Văn hoá, Thể thao và Du lịch",14.0,8.825259854873504,-29.6875,45.0,31.0,-54.83870967741936,2013-02-28,2013-02,2013-01,2012-02,18.0,-41.93548387096774,-56.09756097560975
5331,Bộ Công Thương,10.0,9.25925925925926,-34.09090909090909,29.0,19.0,-47.36842105263158,2013-02-28,2013-02,2013-01,2012-02,12.0,-36.8421052631579,-52.0
5332,Hà Nội,786.519,9.088585681567007,30.125687703575323,2330.689,1544.17,-49.06525835885945,2013-02-28,2013-02,2013-01,2012-02,779.859,-49.49655802146137,-5.264941690962104
5333,TP. Hồ Chí Minh,362.1,5.3588938454384065,2.6619517034852436,902.3,540.2,-32.969270640503524,2013-02-28,2013-02,2013-01,2012-02,362.9,-32.82117734172529,-4.172167942962773
5334,Bà Rịa - Vũng Tàu,295.6,15.785464372763894,20.332706955561775,695.434,399.834,-26.069318767288422,2013-02-28,2013-02,2013-01,2012-02,237.274,-40.65687260212988,-8.985807441503638
5335,Đà Nẵng,300.78,16.213424946505103,-19.32519963503924,641.931,341.151,-11.83376276194413,2013-02-28,2013-02,2013-01,2012-02,347.549,1.8754158715641864,-11.632595982710399
5336,Vĩnh Phúc,165.43,19.474439601494396,19.437676621095235,625.519,460.089,-64.04391324287258,2013-02-28,2013-02,2013-01,2012-02,194.939,-57.630154165824436,
5337,Kiên Giang,236.15,18.88938719994118,17.34636552558861,513.848,277.698,-14.96157696490431,2013-02-28,2013-02,2013-01,2012-02,239.828,-13.637116579881734,
5338,Nghệ An,214.264,21.951419164601386,-8.659782950287834,485.381,271.117,-20.969913358439356,2013-02-28,2013-02,2013-01,2012-02,214.264,-20.969913358439356,
5339,Hà Tĩnh,186.768,30.357005130483337,32.75388128315913,393.598,206.83,-9.699753420683649,2013-02-28,2013-02,2013-01,2012-02,107.34,-48.102306241841134,-31.23638693145419
5340,Thanh Hóa,133.861,10.791282684351385,-1.0836162255886563,338.297,204.436,-34.521806335479084,2013-02-28,2013-02,2013-01,2012-02,176.651,-13.591050499911944,-17.874941887494174
5341,Đồng Nai,140.303,10.209801864082465,3.023904729872811,330.818,190.515,-26.35592997926672,2013-02-28,2013-02,2013-01,2012-02,154.903,-18.69249140487625,-15.53816793893131
