,Ngành,Total-M,Total-YOY,YOY,YTD-YOY,Date,Month,PreMonth,MOM
77,"Nguyên phụ liệu dệt, may, da, giày",189.229814,189.229814,-1.860969992646062,-1.860969992646062,2025-01-29,2025-01,2024-12,-2.34551008902487
78,Thủy tinh và các sản phẩm từ thủy tinh,102.294089,102.294089,17.684323483637016,17.684323483637016,2025-01-29,2025-01,2024-12,-6.560849620133752
79,Sắt thép,611.050085,611.050085,-24.557958931684595,-24.557958931684595,2025-01-29,2025-01,2024-12,14.741739261595228
80,Sản phẩm từ sắt thép,438.98965,438.98965,14.113731665204938,14.113731665204938,2025-01-29,2025-01,2024-12,-13.303560916239292
81,Kim loại thường khác và sản phẩm,350.97765,350.97765,-5.630451179967395,-5.630451179967395,2025-01-29,2025-01,2024-12,-7.427499029370907
82,"Điện tử, máy tính và linh kiện",6053.55027,6053.55027,13.30750039361746,13.30750039361746,2025-01-29,2025-01,2024-12,-17.43479705282664
83,Điện thoại và linh kiện,4832.539281,4832.539281,-13.24589101384639,-13.24589101384639,2025-01-29,2025-01,2024-12,32.33529385334268
84,"Máy ảnh, máy quay phim và LK",575.285029,575.285029,-30.25175570435124,-30.25175570435124,2025-01-29,2025-01,2024-12,-0.4568190575961921
85,"Máy móc thiết bị, dụng cụ PT khác",3862.674084,3862.674084,-3.98691441263,-3.98691441263,2025-01-29,2025-01,2024-12,-11.964729769612887
86,Dây điện và cáp điện,301.90642,301.90642,3.493734664017566,3.493734664017566,2025-01-29,2025-01,2024-12,-4.122031721397576
87,Phương tiện vận tải và phụ tùng,1194.64459,1194.64459,-10.186317634383627,-10.186317634383627,2025-01-29,2025-01,2024-12,-8.031653085568706
88,SP nội thất từ chất liệu khác gỗ,333.600458,333.600458,6.098971077062657,6.098971077062657,2025-01-29,2025-01,2024-12,-9.461253456527672
89,"Đồ chơi, dụng cụ thể thao và bộ phận",401.807663,401.807663,38.53723618361272,38.53723618361272,2025-01-29,2025-01,2024-12,27.883118700931647
90,TỔNG TRỊ GIÁ,35528.989183,405531.740609,12.846648459304191,14.324144425828905,2024-12-29,2024-12,2024-11,5.321717714532099
91,Khu vực kinh tế trong nước,10682.841116,114593.08477999998,17.554104568799318,19.797205387142697,2024-12-29,2024-12,2024-11,8.453905509054266
92,Khu vực có vốn đầu tư NN,24846.148067,290938.655829,10.936571257715627,12.30329900189922,2024-12-29,2024-12,2024-11,4.029937481298475
93,Dầu thô,117.682069,1733.620318,-22.4793185203454,-8.392912791272181,2024-12-29,2024-12,2024-11,26.03094482939241
94,Dầu thô,117.682069,1733.620318,-22.4793185203454,-8.392912791272181,2024-12-29,2024-12,2024-11,26.03094482939241
95,Hàng hoá khác,24728.465998,289205.035511,11.164613408719461,12.45559587783147,2024-12-29,2024-12,2024-11,3.9404228405699655
96,Thủy sản,873.897066,10040.016233,17.51997628786137,11.934401557863765,2024-12-29,2024-12,2024-11,-4.771764613763281
97,Rau quả,529.056396,7148.390754,29.776601131195264,27.615875966434245,2024-12-29,2024-12,2024-11,15.51496707401445
98,Hạt điều,362.542525,4343.477216,5.739209207879114,19.232282259003057,2024-12-29,2024-12,2024-11,-8.58162796478156
99,Cà phê,686.556852,5620.173588,14.592115692474124,32.47870437543375,2024-12-29,2024-12,2024-11,95.22071864102622
100,Chè,21.799683,256.411294,-6.208639505985985,23.201927016211727,2024-12-29,2024-12,2024-11,-3.9096090113292092
101,Hạt tiêu,97.39984,1314.601967,25.861254537683664,44.40277243022152,2024-12-29,2024-12,2024-11,-8.535582402607801
102,Gạo,363.964994,5666.120868,7.467345910657116,21.180803834384406,2024-12-29,2024-12,2024-11,-17.954794374725523
103,Sắn và sản phẩm của sắn,109.540037,1155.709479,-22.537781770491534,-11.354980225128074,2024-12-29,2024-12,2024-11,20.702368763903593
104,Bánh kẹo và các sản phẩm từ ngũ cốc,116.849083,1231.552002,22.034545624380215,21.353943256186582,2024-12-29,2024-12,2024-11,-0.9117706563606731
105,Thức ăn gia súc và nguyên liệu,96.424589,1038.358282,12.13907490945391,-13.2317262933513,2024-12-29,2024-12,2024-11,
106,Clanhke và xi măng,86.040085,1136.504876,-13.215532512103337,-14.220086976503637,2024-12-29,2024-12,2024-11,3.9270721118971323
107,Dầu thô,117.682069,1733.620318,-22.4793185203454,-8.392912791272181,2024-12-29,2024-12,2024-11,26.03094482939241
108,Dầu thô,117.682069,1733.620318,-22.4793185203454,-8.392912791272181,2024-12-29,2024-12,2024-11,26.03094482939241
109,Xăng dầu,171.608888,1926.626873,-29.67973169797949,-4.8249782810107575,2024-12-29,2024-12,2024-11,18.356536323626017
110,Hóa chất,238.372838,2767.097839,2.6233853390387623,14.757185096525532,2024-12-29,2024-12,2024-11,-8.71865159451113
111,Sản phẩm hóa chất,246.910175,2708.776053,12.4859016304449,11.61965563610184,2024-12-29,2024-12,2024-11,4.996507723629236
112,Chất dẻo nguyên liệu,176.480546,2630.810933,-11.810963066677516,21.31597238214171,2024-12-29,2024-12,2024-11,-3.8246944537489185
113,Sản phẩm từ chất dẻo,652.535873,6725.30011,29.805374573268665,29.792005617355784,2024-12-29,2024-12,2024-11,8.173483196103604
114,Cao su,452.71729,3419.502445,21.060999152474324,18.216616267410444,2024-12-29,2024-12,2024-11,2.596445768796812
115,Sản phẩm từ cao su,117.568554,1225.861802,27.551489986694293,13.528505370936657,2024-12-29,2024-12,2024-11,
116,"Túi xách, ví, va li, mũ, ô dù",413.490503,4250.074198,15.382650024469498,12.450956393570294,2024-12-29,2024-12,2024-11,6.362525261872861
117,Gỗ và sản phẩm gỗ,1571.63089,16282.136053,17.4362310167991,20.889139543608565,2024-12-29,2024-12,2024-11,7.434113667553447
118,Giấy và các sản phẩm từ giấy,175.249291,2097.997573,6.368016398597348,0.41754861603855886,2024-12-29,2024-12,2024-11,4.466779727699759
119,"Xơ, sợi dệt các loại",385.127229,4407.369868,47.50296372754346,1.1866387760796755,2024-12-29,2024-12,2024-11,4.7377326873453
120,"Dệt, may",3373.148313,37036.851951,16.241112095415275,11.152873613795407,2024-12-29,2024-12,2024-11,10.55322162554873
121,Giày dép,2107.563228,22871.532027,13.534676362524806,13.024900303979209,2024-12-29,2024-12,2024-11,-2.3616846808486542
122,"Nguyên phụ liệu dệt, may, da, giày",193.774822,2229.349331,17.94294101826199,14.196548045517218,2024-12-29,2024-12,2024-11,4.240666445419649
123,Thủy tinh và các sản phẩm từ thủy tinh,109.47669,1185.785074,41.90262828904574,42.37217171038196,2024-12-29,2024-12,2024-11,4.991450006164186
124,Sắt thép,532.543858,9080.015519,-30.157999182051626,8.783541581184778,2024-12-29,2024-12,2024-11,-10.804752072119712
125,Sản phẩm từ sắt thép,506.352573,4594.393476,58.078764570922345,15.692560015847505,2024-12-29,2024-12,2024-11,23.119702408729978
126,Kim loại thường khác và sản phẩm,379.138131,4194.825136,8.511886457621202,4.421534561431955,2024-12-29,2024-12,2024-11,9.951518432038725
127,"Điện tử, máy tính và linh kiện",7331.842052,72584.230572,29.098884350296828,26.618579804256697,2024-12-29,2024-12,2024-11,17.771325994625258
128,Điện thoại và linh kiện,3651.738807,53891.636403,-1.4628774710130443,2.894740564089446,2024-12-29,2024-12,2024-11,-3.2054656558536436
129,"Máy ảnh, máy quay phim và LK",577.925101,8022.956341,-30.53971509917079,5.303894088895163,2024-12-29,2024-12,2024-11,-1.2575567471402138
130,"Máy móc thiết bị, dụng cụ PT khác",4387.643809,52191.541774,14.640800968706884,21.01935036509255,2024-12-29,2024-12,2024-11,-6.327831229839248
131,Dây điện và cáp điện,314.886126,3500.472249,13.397064090879596,4.89371207295315,2024-12-29,2024-12,2024-11,3.203863729605459
132,Phương tiện vận tải và phụ tùng,1298.973647,15066.721183,10.730824827367627,6.425184840870827,2024-12-29,2024-12,2024-11,4.380354515467786
133,SP nội thất từ chất liệu khác gỗ,368.461538,3408.447902,32.20920954041728,33.54545110374863,2024-12-29,2024-12,2024-11,12.465217416691459
134,"Đồ chơi, dụng cụ thể thao và bộ phận",314.199143,3756.058913,21.663727826516975,2.311057050559228,2024-12-29,2024-12,2024-11,2.3954206270492904
135,TỔNG TRỊ GIÁ,33733.773009,369934.689621,8.159821392275973,14.4470010291829,2024-11-29,2024-11,2024-10,-5.208706578348199
136,Khu vực kinh tế trong nước,9850.121178999998,103883.17772400001,13.399940065933265,20.001411758405638,2024-11-29,2024-11,2024-10,-4.344069900227822
137,Khu vực có vốn đầu tư NN,23883.65183,266051.511897,6.137098679139342,12.415314916829018,2024-11-29,2024-11,2024-10,-5.560765258648686
138,Dầu thô,93.375535,1618.898866,-53.76674309547585,-6.994304000067146,2024-11-29,2024-11,2024-10,256.5074988321702
139,Dầu thô,93.375535,1618.898866,-53.76674309547585,-6.994304000067146,2024-11-29,2024-11,2024-10,256.5074988321702
140,Hàng hoá khác,23791,264432.613031,6.679618058940989,12.559126171979514,2024-11-29,2024-11,2024-10,-5.829595012973314
141,Thủy sản,917.686926,9167.944473,16.671474756002794,11.451661385058799,2024-11-29,2024-11,2024-10,-10.238731110287588
142,Rau quả,457.998136,6619.327489,22.98530612842893,27.446146824037456,2024-11-29,2024-11,2024-10,-11.88962590908946
143,Hạt điều,396.575127,3978.968372,12.59477271393503,20.57460371104385,2024-11-29,2024-11,2024-10,-6.565865834318458
144,Cà phê,351.682371,4933.144321,-1.3114721197008805,35.407226830479004,2024-11-29,2024-11,2024-10,35.39322201106742
145,Chè,22.686642,234.685197,2.2258248128030687,26.939165108638477,2024-11-29,2024-11,2024-10,-13.71691467629337
146,Hạt tiêu,106.489324,1217.477094,37.337688462159036,46.15834248552878,2024-11-29,2024-11,2024-10,-11.68236207697997
147,Gạo,443.615189,5302.947231,10.889007151448652,22.26990931660373,2024-11-29,2024-11,2024-10,-12.193568446216915
148,Sắn và sản phẩm của sắn,90.752185,1046.231472,-32.56210538727896,-9.989136612673619,2024-11-29,2024-11,2024-10,19.183817089565537
149,Bánh kẹo và các sản phẩm từ ngũ cốc,117.924282,1114.705122,24.036650615800383,21.283278073986622,2024-11-29,2024-11,2024-10,
150,Clanhke và xi măng,82.788905,1050.384053,-16.380028717209143,-14.307924065502988,2024-11-29,2024-11,2024-10,-22.85665339182229
151,Dầu thô,93.375535,1618.898866,-53.76674309547585,-6.994304000067146,2024-11-29,2024-11,2024-10,256.5074988321702
152,Dầu thô,93.375535,1618.898866,-53.76674309547585,-6.994304000067146,2024-11-29,2024-11,2024-10,256.5074988321702
153,Xăng dầu,144.993165,1756.705596,-35.909424006931374,-1.3230788841735404,2024-11-29,2024-11,2024-10,-15.114684559757876
154,Hóa chất,261.140794,2539.431917,32.40295183153279,16.54201766352668,2024-11-29,2024-11,2024-10,3.1791899372456243
155,Sản phẩm hóa chất,235.160369,2462.272386,5.209176618464895,11.551928541045584,2024-11-29,2024-11,2024-10,7.5057762777585
156,Chất dẻo nguyên liệu,183.498815,2453.421457,-12.65382165941027,24.637550464767628,2024-11-29,2024-11,2024-10,-29.30618585501415
157,Sản phẩm từ chất dẻo,603.230897,6071.668663,22.455124211023488,29.76715396292235,2024-11-29,2024-11,2024-10,0.3949530214213439
158,Cao su,441.260208,2966.844546,26.6115151153235,17.796647038349263,2024-11-29,2024-11,2024-10,2.855186943887688
159,"Túi xách, ví, va li, mũ, ô dù",388.755816,3833.996077,8.339813606138875,12.068223740068305,2024-11-29,2024-11,2024-10,6.621629340293154
160,Gỗ và sản phẩm gỗ,1462.878816,14699.985853,19.401686388902093,21.183363387807773,2024-11-29,2024-11,2024-10,-4.772777937652279
161,Giấy và các sản phẩm từ giấy,167.756,1922.587434,2.4094635047092794,-0.10022778014000266,2024-11-29,2024-11,2024-10,-4.303336176710857
162,"Xơ, sợi dệt các loại",367.706288,4022.485667,68.70779954901226,0.6969697315766439,2024-11-29,2024-11,2024-10,-7.540738527359068
163,"Dệt, may",3051.153339,33650.673157,10.930709656957774,10.624635023138794,2024-11-29,2024-11,2024-10,-5.003092267933212
164,Giày dép,2158.541164,20758.615398,11.873384916789902,12.944286332215341,2024-11-29,2024-11,2024-10,6.24834094730555
165,"Nguyên phụ liệu dệt, may, da, giày",185.891772,2035.605368,18.708236550813552,13.854008242722088,2024-11-29,2024-11,2024-10,-8.078811424522385
166,Thủy tinh và các sản phẩm từ thủy tinh,104.272005,1076.278417,33.186962479692,42.41614016076511,2024-11-29,2024-11,2024-10,
167,Sắt thép,597.05407,8549.140098,-7.42578252078151,12.720546473017194,2024-11-29,2024-11,2024-10,-20.27861422944197
168,Sản phẩm từ sắt thép,411.268516,4088.343224,21.351812670436644,11.982022289490217,2024-11-29,2024-11,2024-10,4.334104625948925
169,Kim loại thường khác và sản phẩm,344.823006,3815.735448,8.077080646670296,4.033205529012875,2024-11-29,2024-11,2024-10,4.238212850362274
170,"Điện tử, máy tính và linh kiện",6225.48994,65226.923523,21.847866897546012,26.296525759661435,2024-11-29,2024-11,2024-10,5.422118408605755
171,Điện thoại và linh kiện,3772.670463,50242.451164,-13.854108540773424,3.231798984968151,2024-11-29,2024-11,2024-10,-17.74584599343713
172,"Máy ảnh, máy quay phim và LK",585.285397,7442.124598,-41.27138871774417,9.655260838906827,2024-11-29,2024-11,2024-10,-17.256676484739884
173,"Máy móc thiết bị, dụng cụ PT khác",4684.042087,47805.518061,20.72418491369112,21.644669506914965,2024-11-29,2024-11,2024-10,-10.672512002554853
174,Dây điện và cáp điện,305.110792,3183.743598,10.334422582330774,4.061706349860657,2024-11-29,2024-11,2024-10,-2.1876865603303344
175,Phương tiện vận tải và phụ tùng,1244.461808,13765.422007,7.330700423983245,6.018264228569109,2024-11-29,2024-11,2024-10,-7.615590868701332
176,SP nội thất từ chất liệu khác gỗ,327.622661,3038.642241,33.78423492062768,33.65012848298002,2024-11-29,2024-11,2024-10,4.105232344248549
177,"Đồ chơi, dụng cụ thể thao và bộ phận",306.848823,3441.042836,18.927990339126623,0.8227427773439047,2024-11-29,2024-11,2024-10,-10.324899556269202
178,TỔNG TRỊ GIÁ,35587.417147,335585.942544,10.093746156341695,14.907858058211602,2024-10-29,2024-10,2024-09,4.516320983640057
179,Khu vực kinh tế trong nước,10297.449587,93973.60794399999,17.74153607725657,20.661341159297137,2024-10-29,2024-10,2024-09,9.678625628926369
180,Khu vực có vốn đầu tư NN,25289.96756,241612.3346,7.257045658736132,12.815583912357482,2024-10-29,2024-10,2024-09,2.5509580786320214
181,Dầu thô,26.191745,1484.946672,-85.36336018855788,-3.4920886433069853,2024-10-29,2024-10,2024-09,-82.37200235899257
182,Dầu thô,26.191745,1484.946672,-85.36336018855788,-3.4920886433069853,2024-10-29,2024-10,2024-09,-82.37200235899257
183,Hàng hoá khác,25263.775815,240127.387928,7.965343371601975,12.933594610150863,2024-10-29,2024-10,2024-09,3.0657154077494084
184,Thủy sản,1022.36403,8249.672324,21.705506552961438,10.891910565995772,2024-10-29,2024-10,2024-09,10.860881962156668
185,Rau quả,519.800467,6160.305857,-14.562580843112855,27.769468486101673,2024-10-29,2024-10,2024-09,-43.353465487799646
186,Hạt điều,424.443519,3578.071946,18.40882604773722,21.381473075823294,2024-10-29,2024-10,2024-09,13.819310173492866
187,Cà phê,259.748875,4575.913581,64.94923237533794,39.21943092234466,2024-10-29,2024-10,2024-09,-9.475255738999138
188,Chè,26.293267,211.934523,19.852884164068,30.271027597401684,2024-10-29,2024-10,2024-09,13.743332360715783
189,Hạt tiêu,120.575376,1110.467558,65.29320901805684,46.99482408360012,2024-10-29,2024-10,2024-09,9.145107667160346
190,Gạo,505.219471,4861.964312,27.239693323458198,23.493216211683475,2024-10-29,2024-10,2024-09,-1.013829132166478
191,Sắn và sản phẩm của sắn,76.144721,955.41019,-44.10867491961679,-7.040251506659899,2024-10-29,2024-10,2024-09,34.1408006687528
192,Clanhke và xi măng,107.31827,967.972011,-2.7842744561210253,-14.092405540719398,2024-10-29,2024-10,2024-09,41.70695032034973
